- Depth 0 | Player 2 | Move None | Score 0.3 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.25, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.25, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.25, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.25, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.25, β=0.0 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.25, β=0.0 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score 0.025 | α=0.0, β=0.025
                - Depth 4 | Player 2 | Move 0 | Score 0.55 | α=0.55, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.55 | α=0.263, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score 0.3 | α=0.55, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score 0.013 | α=0.55, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score 0.013 | α=0.55, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score 0.013 | α=0.55, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score 0.013 | α=0.55, β=inf
                - Depth 4 | Player 2 | Move 1 | Score 0.025 | α=0.025, β=0.55
                    - Depth 5 | Player 1 | Move 0 | Score -0.263 | α=0.0, β=0.55
                    - Depth 5 | Player 1 | Move 1 | Score 0.0 | α=0.0, β=0.55
                    - Depth 5 | Player 1 | Move 2 | Score 0.025 | α=0.0, β=0.55
                    - Depth 5 | Player 1 | Move 3 | Score -0.263 | α=0.025, β=0.55
                    - Depth 5 | Player 1 | Move 4 | Score -0.263 | α=0.025, β=0.55
                    - Depth 5 | Player 1 | Move 5 | Score -0.263 | α=0.025, β=0.55
                    - Depth 5 | Player 1 | Move 6 | Score -0.263 | α=0.025, β=0.55
                - Depth 4 | Player 2 | Move 2 | Score 0.263 | α=0.263, β=0.025
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=0.025
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.263, β=0.025 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.263 | α=0.263, β=0.025
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=0.025
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.263, β=0.025 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.263 | α=0.263, β=0.025
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=0.025
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.263, β=0.025 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.263 | α=0.263, β=0.025
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=0.025
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.263, β=0.025 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.263 | α=0.263, β=0.025
                    - Depth 5 | Player 1 | Move 0 | Score 0.263 | α=0.0, β=0.025
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.263, β=0.025 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.263, β=0.025 [PRUNED]
            - Depth 3 | Player 1 | Move 2 | Score 0.288 | α=0.025, β=0.288
                - Depth 4 | Player 2 | Move 0 | Score 0.3 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.3 | α=0.025, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score 0.05 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score 0.062 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score -0.25 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score -0.25 | α=0.3, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.25 | α=0.3, β=inf
                - Depth 4 | Player 2 | Move 1 | Score 0.288 | α=0.288, β=0.3
                    - Depth 5 | Player 1 | Move 0 | Score -0.263 | α=0.025, β=0.3
                    - Depth 5 | Player 1 | Move 1 | Score 0.288 | α=0.025, β=0.3
                    - Depth 5 | Player 1 | Move 2 | Score 0.037 | α=0.288, β=0.3
                    - Depth 5 | Player 1 | Move 3 | Score 0.05 | α=0.288, β=0.3
                    - Depth 5 | Player 1 | Move 4 | Score -0.263 | α=0.288, β=0.3
                    - Depth 5 | Player 1 | Move 5 | Score -0.263 | α=0.288, β=0.3
                    - Depth 5 | Player 1 | Move 6 | Score -0.263 | α=0.288, β=0.3
                - Depth 4 | Player 2 | Move 2 | Score 0.55 | α=0.55, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.55 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.55, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score 0.3 | α=0.3, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.263 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score 0.3 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.3, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.3, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.3, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.3, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.55 | α=0.55, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.55 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.55, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.55 | α=0.55, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.55 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.55, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.55 | α=0.55, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.55 | α=0.025, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.55, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.55, β=0.288 [PRUNED]
            - Depth 3 | Player 1 | Move 3 | Score 0.075 | α=0.288, β=0.075
                - Depth 4 | Player 2 | Move 0 | Score 0.075 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score 0.062 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score 0.075 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score 0.062 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.25 | α=0.288, β=inf
                - Depth 4 | Player 2 | Move 1 | Score N/A | α=0.288, β=0.075 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.288, β=0.075 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score N/A | α=0.288, β=0.075 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score N/A | α=0.288, β=0.075 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score N/A | α=0.288, β=0.075 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score N/A | α=0.288, β=0.075 [PRUNED]
            - Depth 3 | Player 1 | Move 4 | Score 0.062 | α=0.288, β=0.062
                - Depth 4 | Player 2 | Move 0 | Score 0.062 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score 0.062 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score 0.05 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score 0.037 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score -0.25 | α=0.288, β=inf
                - Depth 4 | Player 2 | Move 1 | Score N/A | α=0.288, β=0.062 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.288, β=0.062 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score N/A | α=0.288, β=0.062 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score N/A | α=0.288, β=0.062 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score N/A | α=0.288, β=0.062 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score N/A | α=0.288, β=0.062 [PRUNED]
            - Depth 3 | Player 1 | Move 5 | Score 0.037 | α=0.288, β=0.037
                - Depth 4 | Player 2 | Move 0 | Score 0.037 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score 0.037 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score 0.025 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score 0.013 | α=0.288, β=inf
                - Depth 4 | Player 2 | Move 1 | Score N/A | α=0.288, β=0.037 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.288, β=0.037 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score N/A | α=0.288, β=0.037 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score N/A | α=0.288, β=0.037 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score N/A | α=0.288, β=0.037 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score N/A | α=0.288, β=0.037 [PRUNED]
            - Depth 3 | Player 1 | Move 6 | Score 0.013 | α=0.288, β=0.013
                - Depth 4 | Player 2 | Move 0 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 0 | Score 0 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 1 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 2 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 3 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 4 | Score -0.25 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 5 | Score 0.013 | α=0.288, β=inf
                    - Depth 5 | Player 1 | Move 6 | Score 0.0 | α=0.288, β=inf
                - Depth 4 | Player 2 | Move 1 | Score N/A | α=0.288, β=0.013 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score N/A | α=0.288, β=0.013 [PRUNED]
                - Depth 4 | Player 2 | Move 3 | Score N/A | α=0.288, β=0.013 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score N/A | α=0.288, β=0.013 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score N/A | α=0.288, β=0.013 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score N/A | α=0.288, β=0.013 [PRUNED]
        - Depth 2 | Player 2 | Move 1 | Score 0.0 | α=0.0, β=0.288
            - Depth 3 | Player 1 | Move 0 | Score -0.325 | α=-inf, β=-0.325
                - Depth 4 | Player 2 | Move 0 | Score 0.263 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score -0.263 | α=-inf, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.263 | α=-0.263, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score -0.263 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 3 | Score -0.263 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 4 | Score -0.263 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 5 | Score -0.263 | α=0.263, β=0.288
                    - Depth 5 | Player 1 | Move 6 | Score -0.263 | α=0.263, β=0.288
                - Depth 4 | Player 2 | Move 1 | Score -0.025 | α=-0.025, β=0.263
                    - Depth 5 | Player 1 | Move 0 | Score -0.05 | α=-inf, β=0.263
                    - Depth 5 | Player 1 | Move 1 | Score -0.025 | α=-0.05, β=0.263
                    - Depth 5 | Player 1 | Move 2 | Score -0.55 | α=-0.025, β=0.263
                    - Depth 5 | Player 1 | Move 3 | Score -0.55 | α=-0.025, β=0.263
                    - Depth 5 | Player 1 | Move 4 | Score -0.55 | α=-0.025, β=0.263
                    - Depth 5 | Player 1 | Move 5 | Score -0.55 | α=-0.025, β=0.263
                    - Depth 5 | Player 1 | Move 6 | Score -0.55 | α=-0.025, β=0.263
                - Depth 4 | Player 2 | Move 2 | Score -0.325 | α=-0.325, β=-0.025
                    - Depth 5 | Player 1 | Move 0 | Score -0.35 | α=-inf, β=-0.025
                    - Depth 5 | Player 1 | Move 1 | Score -0.325 | α=-0.35, β=-0.025
                    - Depth 5 | Player 1 | Move 2 | Score -0.85 | α=-0.325, β=-0.025
                    - Depth 5 | Player 1 | Move 3 | Score -0.562 | α=-0.325, β=-0.025
                    - Depth 5 | Player 1 | Move 4 | Score -0.85 | α=-0.325, β=-0.025
                    - Depth 5 | Player 1 | Move 5 | Score -0.85 | α=-0.325, β=-0.025
                    - Depth 5 | Player 1 | Move 6 | Score -0.85 | α=-0.325, β=-0.025
                - Depth 4 | Player 2 | Move 3 | Score 0.487 | α=0.487, β=-0.325
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=-0.325
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                - Depth 4 | Player 2 | Move 4 | Score 0.487 | α=0.487, β=-0.325
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=-0.325
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                - Depth 4 | Player 2 | Move 5 | Score 0.487 | α=0.487, β=-0.325
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=-0.325
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                - Depth 4 | Player 2 | Move 6 | Score 0.487 | α=0.487, β=-0.325
                    - Depth 5 | Player 1 | Move 0 | Score 0.487 | α=-inf, β=-0.325
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.487, β=-0.325 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.487, β=-0.325 [PRUNED]
            - Depth 3 | Player 1 | Move 1 | Score 0.0 | α=-0.325, β=0.0
                - Depth 4 | Player 2 | Move 0 | Score 0.538 | α=0.538, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0.0 | α=-0.325, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score 0.538 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.538, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.538, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.538, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.538, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.538, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 1 | Score 0.512 | α=0.512, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score 0.512 | α=-0.325, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score N/A | α=0.512, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 2 | Score N/A | α=0.512, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 3 | Score N/A | α=0.512, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 4 | Score N/A | α=0.512, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 5 | Score N/A | α=0.512, β=0.288 [PRUNED]
                    - Depth 5 | Player 1 | Move 6 | Score N/A | α=0.512, β=0.288 [PRUNED]
                - Depth 4 | Player 2 | Move 2 | Score 0.0 | α=0.0, β=0.288
                    - Depth 5 | Player 1 | Move 0 | Score -0.325 | α=-0.325, β=0.288
                    - Depth 5 | Player 1 | Move 1 | Score -0.3 | α=-0.325, β=0.288
                    - Depth 5 | Player 1 | Move 2 | Score 0.0 | α=-0.3, β=0.288
                    - Depth 5 | Player 1 | Move 3 | Score -0.55 | α=0.0, β=0.288
